!SWISSto12 MCK epsilon fit data
!name=20220125_BYD_SK2_88888_01_black_unknown_01
!thickness[mm]=2.550
!freq eps tand
60.000 2.870 4.808e-02 
60.100 2.870 4.788e-02 
60.200 2.870 4.770e-02 
60.300 2.870 4.752e-02 
60.400 2.869 4.736e-02 
60.500 2.869 4.721e-02 
60.600 2.869 4.706e-02 
60.700 2.869 4.693e-02 
60.800 2.868 4.679e-02 
60.900 2.868 4.666e-02 
61.000 2.868 4.653e-02 
61.100 2.867 4.639e-02 
61.200 2.867 4.626e-02 
61.300 2.866 4.611e-02 
61.400 2.866 4.596e-02 
61.500 2.865 4.580e-02 
61.600 2.865 4.563e-02 
61.700 2.864 4.545e-02 
61.800 2.864 4.525e-02 
61.900 2.863 4.504e-02 
62.000 2.863 4.482e-02 
62.100 2.862 4.458e-02 
62.200 2.861 4.433e-02 
62.300 2.861 4.406e-02 
62.400 2.860 4.378e-02 
62.500 2.860 4.348e-02 
62.600 2.859 4.318e-02 
62.700 2.858 4.286e-02 
62.800 2.858 4.253e-02 
62.900 2.857 4.218e-02 
63.000 2.856 4.184e-02 
63.100 2.855 4.148e-02 
63.200 2.854 4.112e-02 
63.300 2.854 4.075e-02 
63.400 2.853 4.038e-02 
63.500 2.852 4.001e-02 
63.600 2.851 3.964e-02 
63.700 2.850 3.927e-02 
63.800 2.849 3.890e-02 
63.900 2.848 3.854e-02 
64.000 2.847 3.819e-02 
64.100 2.846 3.784e-02 
64.200 2.845 3.749e-02 
64.300 2.844 3.716e-02 
64.400 2.842 3.683e-02 
64.500 2.841 3.651e-02 
64.600 2.840 3.620e-02 
64.700 2.839 3.590e-02 
64.800 2.838 3.561e-02 
64.900 2.837 3.533e-02 
65.000 2.836 3.506e-02 
65.100 2.835 3.480e-02 
65.200 2.834 3.454e-02 
65.300 2.833 3.430e-02 
65.400 2.832 3.405e-02 
65.500 2.831 3.382e-02 
65.600 2.830 3.359e-02 
65.700 2.829 3.336e-02 
65.800 2.828 3.314e-02 
65.900 2.828 3.292e-02 
66.000 2.827 3.270e-02 
66.100 2.826 3.249e-02 
66.200 2.826 3.227e-02 
66.300 2.825 3.205e-02 
66.400 2.825 3.183e-02 
66.500 2.824 3.161e-02 
66.600 2.824 3.138e-02 
66.700 2.824 3.115e-02 
66.800 2.823 3.092e-02 
66.900 2.823 3.069e-02 
67.000 2.823 3.045e-02 
67.100 2.823 3.021e-02 
67.200 2.823 2.996e-02 
67.300 2.823 2.971e-02 
67.400 2.824 2.945e-02 
67.500 2.824 2.920e-02 
67.600 2.824 2.894e-02 
67.700 2.824 2.867e-02 
67.800 2.825 2.841e-02 
67.900 2.825 2.814e-02 
68.000 2.825 2.787e-02 
68.100 2.826 2.760e-02 
68.200 2.826 2.734e-02 
68.300 2.827 2.707e-02 
68.400 2.828 2.681e-02 
68.500 2.828 2.654e-02 
68.600 2.829 2.628e-02 
68.700 2.830 2.603e-02 
68.800 2.830 2.578e-02 
68.900 2.831 2.553e-02 
69.000 2.832 2.528e-02 
69.100 2.833 2.505e-02 
69.200 2.833 2.482e-02 
69.300 2.834 2.459e-02 
69.400 2.835 2.437e-02 
69.500 2.836 2.416e-02 
69.600 2.837 2.395e-02 
69.700 2.838 2.375e-02 
69.800 2.839 2.356e-02 
69.900 2.840 2.337e-02 
70.000 2.841 2.319e-02 
70.100 2.842 2.302e-02 
70.200 2.843 2.285e-02 
70.300 2.845 2.268e-02 
70.400 2.846 2.253e-02 
70.500 2.847 2.237e-02 
70.600 2.848 2.222e-02 
70.700 2.849 2.208e-02 
70.800 2.851 2.194e-02 
70.900 2.852 2.180e-02 
71.000 2.853 2.167e-02 
71.100 2.855 2.154e-02 
71.200 2.856 2.141e-02 
71.300 2.858 2.128e-02 
71.400 2.859 2.116e-02 
71.500 2.861 2.104e-02 
71.600 2.862 2.092e-02 
71.700 2.864 2.080e-02 
71.800 2.865 2.068e-02 
71.900 2.867 2.057e-02 
72.000 2.869 2.046e-02 
72.100 2.870 2.035e-02 
72.200 2.872 2.024e-02 
72.300 2.873 2.013e-02 
72.400 2.875 2.003e-02 
72.500 2.877 1.993e-02 
72.600 2.879 1.983e-02 
72.700 2.880 1.973e-02 
72.800 2.882 1.964e-02 
72.900 2.884 1.955e-02 
73.000 2.885 1.947e-02 
73.100 2.887 1.939e-02 
73.200 2.889 1.931e-02 
73.300 2.890 1.924e-02 
73.400 2.892 1.918e-02 
73.500 2.894 1.912e-02 
73.600 2.895 1.907e-02 
73.700 2.897 1.902e-02 
73.800 2.898 1.898e-02 
73.900 2.900 1.895e-02 
74.000 2.901 1.893e-02 
74.100 2.903 1.892e-02 
74.200 2.904 1.891e-02 
74.300 2.906 1.891e-02 
74.400 2.907 1.892e-02 
74.500 2.908 1.894e-02 
74.600 2.910 1.897e-02 
74.700 2.911 1.901e-02 
74.800 2.912 1.906e-02 
74.900 2.913 1.912e-02 
75.000 2.914 1.919e-02 
75.100 2.916 1.927e-02 
75.200 2.917 1.936e-02 
75.300 2.918 1.946e-02 
75.400 2.919 1.957e-02 
75.500 2.919 1.969e-02 
75.600 2.920 1.982e-02 
75.700 2.921 1.996e-02 
75.800 2.922 2.012e-02 
75.900 2.923 2.028e-02 
76.000 2.924 2.045e-02 
76.100 2.924 2.064e-02 
76.200 2.925 2.083e-02 
76.300 2.926 2.104e-02 
76.400 2.926 2.125e-02 
76.500 2.927 2.148e-02 
76.600 2.928 2.171e-02 
76.700 2.928 2.196e-02 
76.800 2.929 2.221e-02 
76.900 2.929 2.247e-02 
77.000 2.930 2.274e-02 
77.100 2.931 2.301e-02 
77.200 2.931 2.329e-02 
77.300 2.932 2.358e-02 
77.400 2.932 2.388e-02 
77.500 2.933 2.418e-02 
77.600 2.933 2.448e-02 
77.700 2.934 2.479e-02 
77.800 2.934 2.511e-02 
77.900 2.935 2.543e-02 
78.000 2.935 2.575e-02 
78.100 2.936 2.607e-02 
78.200 2.936 2.639e-02 
78.300 2.937 2.672e-02 
78.400 2.937 2.705e-02 
78.500 2.938 2.738e-02 
78.600 2.938 2.771e-02 
78.700 2.939 2.804e-02 
78.800 2.939 2.837e-02 
78.900 2.939 2.870e-02 
79.000 2.939 2.902e-02 
79.100 2.940 2.935e-02 
79.200 2.940 2.968e-02 
79.300 2.940 3.001e-02 
79.400 2.940 3.033e-02 
79.500 2.940 3.066e-02 
79.600 2.940 3.099e-02 
79.700 2.940 3.131e-02 
79.800 2.940 3.164e-02 
79.900 2.940 3.196e-02 
80.000 2.939 3.229e-02 
80.100 2.939 3.262e-02 
80.200 2.939 3.294e-02 
80.300 2.938 3.327e-02 
80.400 2.938 3.360e-02 
80.500 2.938 3.393e-02 
80.600 2.937 3.425e-02 
80.700 2.936 3.459e-02 
80.800 2.936 3.492e-02 
80.900 2.935 3.525e-02 
81.000 2.934 3.558e-02 
81.100 2.934 3.592e-02 
81.200 2.933 3.626e-02 
81.300 2.932 3.659e-02 
81.400 2.931 3.693e-02 
81.500 2.930 3.727e-02 
81.600 2.929 3.760e-02 
81.700 2.928 3.794e-02 
81.800 2.928 3.828e-02 
81.900 2.927 3.861e-02 
82.000 2.926 3.894e-02 
82.100 2.925 3.927e-02 
82.200 2.924 3.960e-02 
82.300 2.923 3.992e-02 
82.400 2.922 4.024e-02 
82.500 2.922 4.055e-02 
82.600 2.921 4.086e-02 
82.700 2.920 4.116e-02 
82.800 2.919 4.146e-02 
82.900 2.919 4.175e-02 
83.000 2.918 4.203e-02 
83.100 2.917 4.230e-02 
83.200 2.917 4.257e-02 
83.300 2.916 4.282e-02 
83.400 2.916 4.307e-02 
83.500 2.915 4.331e-02 
83.600 2.915 4.354e-02 
83.700 2.915 4.376e-02 
83.800 2.914 4.398e-02 
83.900 2.914 4.418e-02 
84.000 2.914 4.438e-02 
84.100 2.914 4.456e-02 
84.200 2.913 4.474e-02 
84.300 2.913 4.492e-02 
84.400 2.913 4.508e-02 
84.500 2.913 4.524e-02 
84.600 2.913 4.539e-02 
84.700 2.913 4.554e-02 
84.800 2.913 4.568e-02 
84.900 2.913 4.582e-02 
85.000 2.913 4.596e-02 
85.100 2.912 4.609e-02 
85.200 2.912 4.622e-02 
85.300 2.912 4.635e-02 
85.400 2.912 4.647e-02 
85.500 2.912 4.660e-02 
85.600 2.912 4.673e-02 
85.700 2.912 4.685e-02 
85.800 2.912 4.698e-02 
85.900 2.912 4.711e-02 
86.000 2.912 4.724e-02 
86.100 2.911 4.737e-02 
86.200 2.911 4.750e-02 
86.300 2.911 4.764e-02 
86.400 2.911 4.777e-02 
86.500 2.910 4.791e-02 
86.600 2.910 4.805e-02 
86.700 2.909 4.819e-02 
86.800 2.909 4.833e-02 
86.900 2.908 4.847e-02 
87.000 2.908 4.861e-02 
87.100 2.907 4.875e-02 
87.200 2.907 4.888e-02 
87.300 2.906 4.902e-02 
87.400 2.905 4.915e-02 
87.500 2.905 4.928e-02 
87.600 2.904 4.940e-02 
87.700 2.903 4.952e-02 
87.800 2.902 4.963e-02 
87.900 2.901 4.974e-02 
88.000 2.900 4.984e-02 
88.100 2.900 4.994e-02 
88.200 2.899 5.002e-02 
88.300 2.898 5.010e-02 
88.400 2.897 5.017e-02 
88.500 2.896 5.023e-02 
88.600 2.895 5.028e-02 
88.700 2.893 5.033e-02 
88.800 2.892 5.036e-02 
88.900 2.891 5.038e-02 
89.000 2.890 5.040e-02 
89.100 2.889 5.040e-02 
89.200 2.888 5.040e-02 
89.300 2.887 5.038e-02 
89.400 2.886 5.036e-02 
89.500 2.885 5.033e-02 
89.600 2.884 5.030e-02 
89.700 2.883 5.025e-02 
89.800 2.882 5.020e-02 
89.900 2.881 5.014e-02 
90.000 2.881 5.007e-02 
